Module 12 Neural Network Training Log
======================================================================

RANDOM_SEED = 42
HIDDEN_UNITS = 6
LEARNING_RATE = 0.05
MAX_EPOCHS = 10000
PATIENCE = 100

Rows used after filtering: 12712
Training set size: 10169
Test set size: 2543

TRAINING PRINTOUTS
----------------------------------------------------------------------
Epoch  6300 | Train MSE: 0.197000 | Test MSE: 0.200487 | Test Accuracy: 0.7220
Epoch  6400 | Train MSE: 0.196997 | Test MSE: 0.200484 | Test Accuracy: 0.7220
Epoch  6500 | Train MSE: 0.196994 | Test MSE: 0.200481 | Test Accuracy: 0.7220
Epoch  6600 | Train MSE: 0.196991 | Test MSE: 0.200479 | Test Accuracy: 0.7220
Epoch  6700 | Train MSE: 0.196988 | Test MSE: 0.200476 | Test Accuracy: 0.7220
Epoch  6800 | Train MSE: 0.196986 | Test MSE: 0.200474 | Test Accuracy: 0.7220
Epoch  6900 | Train MSE: 0.196983 | Test MSE: 0.200472 | Test Accuracy: 0.7220
Epoch  7000 | Train MSE: 0.196981 | Test MSE: 0.200470 | Test Accuracy: 0.7220
Epoch  7100 | Train MSE: 0.196979 | Test MSE: 0.200468 | Test Accuracy: 0.7220
Epoch  7200 | Train MSE: 0.196977 | Test MSE: 0.200467 | Test Accuracy: 0.7220
Epoch  7300 | Train MSE: 0.196975 | Test MSE: 0.200465 | Test Accuracy: 0.7220
Epoch  7400 | Train MSE: 0.196973 | Test MSE: 0.200463 | Test Accuracy: 0.7220
Epoch  7500 | Train MSE: 0.196971 | Test MSE: 0.200462 | Test Accuracy: 0.7220
Epoch  7600 | Train MSE: 0.196969 | Test MSE: 0.200460 | Test Accuracy: 0.7220
Epoch  7700 | Train MSE: 0.196968 | Test MSE: 0.200459 | Test Accuracy: 0.7220
Epoch  7800 | Train MSE: 0.196966 | Test MSE: 0.200458 | Test Accuracy: 0.7220
Epoch  7900 | Train MSE: 0.196964 | Test MSE: 0.200456 | Test Accuracy: 0.7220
Epoch  8000 | Train MSE: 0.196963 | Test MSE: 0.200455 | Test Accuracy: 0.7220
Epoch  8100 | Train MSE: 0.196961 | Test MSE: 0.200454 | Test Accuracy: 0.7220
Epoch  8200 | Train MSE: 0.196960 | Test MSE: 0.200452 | Test Accuracy: 0.7220
Epoch  8300 | Train MSE: 0.196958 | Test MSE: 0.200451 | Test Accuracy: 0.7228
Epoch  8400 | Train MSE: 0.196957 | Test MSE: 0.200450 | Test Accuracy: 0.7228
Epoch  8500 | Train MSE: 0.196955 | Test MSE: 0.200449 | Test Accuracy: 0.7228
Epoch  8600 | Train MSE: 0.196954 | Test MSE: 0.200448 | Test Accuracy: 0.7228
Epoch  8700 | Train MSE: 0.196953 | Test MSE: 0.200447 | Test Accuracy: 0.7228
Epoch  8800 | Train MSE: 0.196951 | Test MSE: 0.200445 | Test Accuracy: 0.7228
Epoch  8900 | Train MSE: 0.196950 | Test MSE: 0.200444 | Test Accuracy: 0.7228
Epoch  9000 | Train MSE: 0.196949 | Test MSE: 0.200443 | Test Accuracy: 0.7228
Epoch  9100 | Train MSE: 0.196947 | Test MSE: 0.200442 | Test Accuracy: 0.7228
Epoch  9200 | Train MSE: 0.196946 | Test MSE: 0.200441 | Test Accuracy: 0.7228
Epoch  9300 | Train MSE: 0.196945 | Test MSE: 0.200440 | Test Accuracy: 0.7228
Epoch  9400 | Train MSE: 0.196943 | Test MSE: 0.200438 | Test Accuracy: 0.7228
Epoch  9500 | Train MSE: 0.196942 | Test MSE: 0.200437 | Test Accuracy: 0.7228
Epoch  9600 | Train MSE: 0.196941 | Test MSE: 0.200436 | Test Accuracy: 0.7228
Epoch  9700 | Train MSE: 0.196939 | Test MSE: 0.200435 | Test Accuracy: 0.7228
Epoch  9800 | Train MSE: 0.196938 | Test MSE: 0.200434 | Test Accuracy: 0.7228
Epoch  9900 | Train MSE: 0.196937 | Test MSE: 0.200432 | Test Accuracy: 0.7228
Epoch 10000 | Train MSE: 0.196935 | Test MSE: 0.200431 | Test Accuracy: 0.7228

FINAL MODEL EVALUATION
----------------------------------------------------------------------
Best epoch: 10000
Stopping epoch: 10000
Best test MSE: 0.200431
Final training accuracy: 0.7283
Final test accuracy: 0.7228
