program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page,initial_cluster,final_cluster
Chemistry,Utah State University,,Utah State University,https://www.thegradcafe.com/result/1016543,Rejected,,Mar 23,,,,,PhD,,,"Utah State University Chemistry PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,7,11
Computer Science,ETH Zurich,,ETH Zurich,https://www.thegradcafe.com/result/1016542,Rejected,,Mar 23,Fall 2026,International,,,Masters,3.7,,"ETH Zurich Computer Science Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,1,2
Aerospace Engineering,California Institute of Technology,,California Institute of Technology,https://www.thegradcafe.com/result/1016541,Rejected,,Mar 20,Fall 2026,American,,,Masters,3.91,,"California Institute of Technology Aerospace Engineering Masters Mar 23, 2026 Rejected on Mar 20 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,8,48
Applied Economics,Oregon State University,,Oregon State University,https://www.thegradcafe.com/result/1016540,Waitlisted,,,Fall 2026,American,,,PhD,,,"Oregon State University Applied Economics PhD Mar 23, 2026 Wait listed on Feb 27 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,23,69
Agricultural Economics,Washington State University,,Washington State University,https://www.thegradcafe.com/result/1016539,Accepted,Feb 16,,Fall 2026,American,,,PhD,,,"Washington State University Agricultural Economics PhD Mar 23, 2026 Accepted on Feb 16 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,5,3
English,Pennsylvania State University,,Pennsylvania State University,https://www.thegradcafe.com/result/1016538,Rejected,,Mar 23,Fall 2026,American,,,PhD,3.96,,"Pennsylvania State University English PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,17,4
English,Pennsylvania State University,,Pennsylvania State University,https://www.thegradcafe.com/result/1016537,Rejected,,Mar 23,Fall 2026,American,,,PhD,,,"Pennsylvania State University English PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=187&sort=newest,17,4
Anthropology,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016536,Rejected,,Mar 23,Fall 2026,American,,,PhD,3.85,,"University of Oxford Anthropology PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,48,29
Atmospheric Science,University of Washington,,University of Washington,https://www.thegradcafe.com/result/1016535,Waitlisted,,,Fall 2026,American,,,PhD,3.4,,"University of Washington Atmospheric Science PhD Mar 23, 2026 Wait listed on Mar 17 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,45,17
Clinical Mental Health Counseling,Florida International University,,Florida International University,https://www.thegradcafe.com/result/1016534,Rejected,,Mar 23,Fall 2026,American,,,Masters,3.58,,"Florida International University Clinical Mental Health Counseling Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,33,21
Physics,Pennsylvania State University,,Pennsylvania State University,https://www.thegradcafe.com/result/1016533,Rejected,,Mar 23,Fall 2026,International,,,PhD,3.3,,"Pennsylvania State University Physics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,11,8
Clinical Mental Health Counseling,Montclair State University,,Montclair State University,https://www.thegradcafe.com/result/1016532,Accepted,Mar 23,,Fall 2026,American,,,Masters,3.58,,"Montclair State University Clinical Mental Health Counseling Masters Mar 23, 2026 Accepted on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,33,21
English,Louisiana State University,,Louisiana State University,https://www.thegradcafe.com/result/1016531,Waitlisted,,,Fall 2026,American,,,PhD,4.0,,"Louisiana State University English PhD Mar 23, 2026 Wait listed on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,17,4
Business Analytics,"University of California, Davis",,"University of California, Davis",https://www.thegradcafe.com/result/1016530,Accepted,Feb 12,,Fall 2026,International,,,Masters,3.1,,"University of California, Davis Business Analytics Masters Mar 23, 2026 Accepted on Feb 12 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,25,3
Higher Education and Student Affairs,Northern Illinois University,,Northern Illinois University,https://www.thegradcafe.com/result/1016529,Accepted,Dec 13,,Fall 2026,American,,,Masters,3.7,,"Northern Illinois University Higher Education and Student Affairs Masters Mar 23, 2026 Accepted on Dec 13 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,46,40
Anthropology,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016528,Rejected,,Mar 23,Fall 2026,International,,,PhD,3.92,,"University of Oxford Anthropology PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,48,29
College Student Personnel Administration,Illinois State University,,Illinois State University,https://www.thegradcafe.com/result/1016527,Accepted,Jan 28,,Fall 2026,American,,,Masters,3.7,,"Illinois State University College Student Personnel Administration Masters Mar 23, 2026 Accepted on Jan 28 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,25,3
Higher Education and Student Affairs,Kutztown University of Pennsylvania,,Kutztown University of Pennsylvania,https://www.thegradcafe.com/result/1016526,Accepted,Dec 03,,Fall 2026,American,,,Masters,3.7,,"Kutztown University of Pennsylvania Higher Education and Student Affairs Masters Mar 23, 2026 Accepted on Dec 03 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,46,40
Higher Education and Student Affairs,University of South Carolina,,University of South Carolina,https://www.thegradcafe.com/result/1016525,Accepted,Dec 17,,Fall 2026,American,,,Masters,3.7,,"University of South Carolina Higher Education and Student Affairs Masters Mar 23, 2026 Accepted on Dec 17 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,46,40
Higher Education Administration,NC State University,,NC State University,https://www.thegradcafe.com/result/1016524,Accepted,Dec 15,,Fall 2026,American,,,Masters,3.7,,"NC State University Higher Education Administration Masters Mar 23, 2026 Accepted on Dec 15 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,0,40
Economics,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016523,Rejected,,Mar 23,Fall 2026,International,168.0,161.0,PhD,3.5,5.0,"University of Oxford Economics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,2,5
Economics,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016522,Rejected,,Mar 23,Fall 2026,International,,,PhD,,,"University of Oxford Economics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,2,5
Student Affairs,"University of Maryland, College Park",,"University of Maryland, College Park",https://www.thegradcafe.com/result/1016521,Accepted,Feb 15,,Fall 2026,American,,,Masters,3.7,,"University of Maryland, College Park Student Affairs Masters Mar 23, 2026 Accepted on Feb 15 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,25,3
Applied Physics,Cornell University,,Cornell University,https://www.thegradcafe.com/result/1016520,Rejected,,Mar 23,,,,,PhD,,,"Cornell University Applied Physics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,24,69
Economics,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016519,Rejected,,Mar 23,Fall 2026,International,168.0,161.0,PhD,3.99,3.5,"University of Oxford Economics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,2,5
History of Art,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016518,Accepted,Mar 23,,Fall 2026,American,,,Masters,4.0,,"University of Oxford History of Art Masters Mar 23, 2026 Accepted on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,41,24
Social Anthropology,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016517,Rejected,,Mar 23,Fall 2026,,,,PhD,,,"University of Oxford Social Anthropology PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=188&sort=newest,48,29
Anthropology,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016516,Rejected,,Mar 23,Fall 2026,International,,,PhD,,,"University of Oxford Anthropology PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,48,29
Counseling Psychology,University of Alberta,,University of Alberta,https://www.thegradcafe.com/result/1016515,Waitlisted,,,Fall 2026,International,,,Masters,,,"University of Alberta Counseling Psychology Masters Mar 23, 2026 Wait listed on Mar 06 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,18,74
Clinical Psychology,"University of Nevada, Las Vegas",,"University of Nevada, Las Vegas",https://www.thegradcafe.com/result/1016514,Rejected,,Mar 23,Fall 2026,American,,,PhD,,,"University of Nevada, Las Vegas Clinical Psychology PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,7,31
Electrical And Computer Engineering,McGill University,,McGill University,https://www.thegradcafe.com/result/1016513,Rejected,,Mar 23,Fall 2026,,335.0,167.0,Masters,3.1,99.99,"McGill University Electrical And Computer Engineering Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,16,0
Computer Science,ETH Zurich,,ETH Zurich,https://www.thegradcafe.com/result/1016512,Rejected,,Mar 23,Fall 2026,International,,,Masters,3.7,,"ETH Zurich Computer Science Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,1,2
Mathematics and Statistics,Georgetown University,,Georgetown University,https://www.thegradcafe.com/result/1016511,Accepted,Mar 17,,Fall 2026,International,,,Masters,,,"Georgetown University Mathematics and Statistics Masters Mar 23, 2026 Accepted on Mar 17 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,26,7
Urban Planning,McGill University,,McGill University,https://www.thegradcafe.com/result/1016510,Rejected,,Mar 23,Fall 2026,American,,,Masters,3.78,,"McGill University Urban Planning Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,34,42
Communication,"University of Maryland, College Park",,"University of Maryland, College Park",https://www.thegradcafe.com/result/1016509,Accepted,Mar 23,,Fall 2026,International,,,PhD,3.9,,"University of Maryland, College Park Communication PhD Mar 23, 2026 Accepted on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,0,47
Political Science,Washington University in St. Louis (WashU/WUSTL),,Washington University in St. Louis (WashU/WUSTL),https://www.thegradcafe.com/result/1016508,Waitlisted,,,Fall 2026,International,,,PhD,,,"Washington University in St. Louis (WashU/WUSTL) Political Science PhD Mar 23, 2026 Wait listed on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,3,20
Urban Planning,Hunter College,,Hunter College,https://www.thegradcafe.com/result/1016507,Accepted,Apr 02,,Fall 2026,American,,,Masters,3.82,,"Hunter College Urban Planning Masters Mar 23, 2026 Accepted on Apr 02 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,34,42
Urban Planning,McGill University,,McGill University,https://www.thegradcafe.com/result/1016506,Rejected,,Mar 23,Fall 2026,International,,,Masters,3.69,,"McGill University Urban Planning Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,34,42
Social Work,Rutgers University,,Rutgers University,https://www.thegradcafe.com/result/1016505,Accepted,Feb 27,,Fall 2026,American,,,Masters,,,"Rutgers University Social Work Masters Mar 23, 2026 Accepted on Feb 27 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,48,28
Aerospace Engineering,Virginia Tech,,Virginia Tech,https://www.thegradcafe.com/result/1016504,Accepted,Mar 11,,Fall 2026,International,,,PhD,3.65,,"Virginia Tech Aerospace Engineering PhD Mar 23, 2026 Accepted on Mar 11 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,8,48
Computer Science,University of Washington,,University of Washington,https://www.thegradcafe.com/result/1016503,Rejected,,Feb 05,Fall 2026,International,,,PhD,,,"University of Washington Computer Science PhD Mar 23, 2026 Rejected on Feb 05 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,1,2
Computer Science,University of Waterloo,,University of Waterloo,https://www.thegradcafe.com/result/1016502,Rejected,,Mar 23,,,,,PhD,,,"University of Waterloo Computer Science PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,1,2
Electrical And Computer Engineering,Virginia Tech,,Virginia Tech,https://www.thegradcafe.com/result/1016501,Waitlisted,,,Fall 2026,International,324.0,157.0,PhD,4.0,4.0,"Virginia Tech Electrical And Computer Engineering PhD Mar 23, 2026 Wait listed on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,16,0
Data Science,Columbia University,,Columbia University,https://www.thegradcafe.com/result/1016499,Accepted,Mar 09,,Fall 2026,American,,,Masters,3.3,,"Columbia University Data Science Masters Mar 23, 2026 Accepted on Mar 09 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,21,25
Comparative Literature,University of Southern California,,University of Southern California,https://www.thegradcafe.com/result/1016498,Rejected,,Mar 21,Fall 2026,American,,,PhD,4.0,,"University of Southern California Comparative Literature PhD Mar 23, 2026 Rejected on Mar 21 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,0,27
Electrical And Computer Engineering,Virginia Tech,,Virginia Tech,https://www.thegradcafe.com/result/1016497,Waitlisted,,,Fall 2026,International,,,PhD,,,"Virginia Tech Electrical And Computer Engineering PhD Mar 23, 2026 Wait listed on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=189&sort=newest,16,0
Economics,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1016496,Rejected,,Mar 16,Fall 2026,International,,,PhD,3.34,,"University of Toronto Economics PhD Mar 23, 2026 Rejected on Mar 16 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,2,5
Computer Science,New York University,,New York University,https://www.thegradcafe.com/result/1016495,Accepted,Jan 16,,Fall 2026,International,,,Masters,,,"New York University Computer Science Masters Mar 23, 2026 Accepted on Jan 16 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,1,2
Computer Science,University of Massachusetts Amherst,,University of Massachusetts Amherst,https://www.thegradcafe.com/result/1016494,Accepted,Feb 15,,Fall 2026,International,,,Masters,3.7,,"University of Massachusetts Amherst Computer Science Masters Mar 23, 2026 Accepted on Feb 15 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,1,2
Mathematics,University of Idaho,,University of Idaho,https://www.thegradcafe.com/result/1016493,Accepted,Mar 20,,Fall 2026,American,,,PhD,3.91,,"University of Idaho Mathematics PhD Mar 23, 2026 Accepted on Mar 20 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,26,12
Sociology,Temple University,,Temple University,https://www.thegradcafe.com/result/1016492,Waitlisted,,,Fall 2026,International,,,PhD,,,"Temple University Sociology PhD Mar 23, 2026 Wait listed on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,33,18
Data Science,ETH Zurich,,ETH Zurich,https://www.thegradcafe.com/result/1016491,Rejected,,Mar 23,Fall 2026,International,,,Masters,,,"ETH Zurich Data Science Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,21,25
Electrical Engineering and Computer Science,Purdue University,,Purdue University,https://www.thegradcafe.com/result/1016490,Rejected,,Mar 23,Fall 2026,American,,,Masters,3.92,,"Purdue University Electrical Engineering and Computer Science Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,28,0
Psychological and Brain Sciences,Indiana University Bloomington,,Indiana University Bloomington,https://www.thegradcafe.com/result/1016487,Accepted,Feb 25,,Fall 2026,American,,,PhD,3.95,,"Indiana University Bloomington Psychological and Brain Sciences PhD Mar 23, 2026 Accepted on Feb 25 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,46,36
"Communication, Information, and Media",Rutgers University,,Rutgers University,https://www.thegradcafe.com/result/1016486,Rejected,,Mar 23,Fall 2026,American,,,PhD,3.23,,"Rutgers University Communication, Information, and Media PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,46,66
Neuroscience,Tulane University,,Tulane University,https://www.thegradcafe.com/result/1016485,Accepted,Mar 20,,Fall 2026,American,,,PhD,3.95,,"Tulane University Neuroscience PhD Mar 23, 2026 Accepted on Mar 20 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,46,43
Communication (media),Rutgers University,,Rutgers University,https://www.thegradcafe.com/result/1016484,Rejected,,Mar 23,Fall 2026,American,,,PhD,,,"Rutgers University Communication (media) PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,0,66
Clinical Psychology,Rowan University,,Rowan University,https://www.thegradcafe.com/result/1016483,Accepted,Mar 03,,Fall 2026,American,,,PhD,3.82,,"Rowan University Clinical Psychology PhD Mar 23, 2026 Accepted on Mar 03 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,7,31
Clinical Psychology,Ohio University,,Ohio University,https://www.thegradcafe.com/result/1016482,Accepted,Mar 12,,Fall 2026,American,,,PhD,3.82,,"Ohio University Clinical Psychology PhD Mar 23, 2026 Accepted on Mar 12 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,7,31
Mathematics and Foundations of Computer Science,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1016481,Accepted,Mar 17,,Fall 2026,International,,,Masters,,,"University of Oxford Mathematics and Foundations of Computer Science Masters Mar 23, 2026 Accepted on Mar 17 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,21,17
Mathematics,Purdue University,,Purdue University,https://www.thegradcafe.com/result/1016480,Rejected,,Mar 23,Fall 2026,American,,,PhD,3.8,,"Purdue University Mathematics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,26,12
"Geography, Planning and Design",University of Colorado at Denver,,University of Colorado at Denver,https://www.thegradcafe.com/result/1016479,Rejected,,Mar 19,Fall 2026,International,,,PhD,,,"University of Colorado at Denver Geography, Planning and Design PhD Mar 23, 2026 Rejected on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,34,22
City and Regional Planning,Georgia Institute of Technology,,Georgia Institute of Technology,https://www.thegradcafe.com/result/1016478,Rejected,,Mar 16,Fall 2026,International,,,PhD,,,"Georgia Institute of Technology City and Regional Planning PhD Mar 23, 2026 Rejected on Mar 16 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,0,41
Computer Science,ETH Zurich,,ETH Zurich,https://www.thegradcafe.com/result/1016477,Rejected,,Mar 19,,,,,Masters,,,"ETH Zurich Computer Science Masters Mar 23, 2026 Rejected on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=190&sort=newest,1,2
Computational Science Engineering and Mathematics,The University of Texas at Austin,,The University of Texas at Austin,https://www.thegradcafe.com/result/1016476,Rejected,,Mar 23,Fall 2026,International,,,PhD,,,"The University of Texas at Austin Computational Science Engineering and Mathematics PhD Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,6,77
Space Systems,ETH Zurich,,ETH Zurich,https://www.thegradcafe.com/result/1016475,Rejected,,Mar 23,Fall 2026,International,,,Masters,3.64,,"ETH Zurich Space Systems Masters Mar 23, 2026 Rejected on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,25,61
Mathematics and Statistics,University of Calgary,,University of Calgary,https://www.thegradcafe.com/result/1016474,Accepted,Mar 20,,Fall 2026,International,,,Masters,,,"University of Calgary Mathematics and Statistics Masters Mar 23, 2026 Accepted on Mar 20 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,26,7
Mechanical Engineering,University of California (UCLA),,University of California (UCLA),https://www.thegradcafe.com/result/1016473,Accepted,Mar 23,,Fall 2026,International,,,Masters,3.96,,"University of California (UCLA) Mechanical Engineering Masters Mar 23, 2026 Accepted on Mar 23 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,38,13
Nursing,Boston College,,Boston College,https://www.thegradcafe.com/result/1016472,Rejected,,Mar 19,Fall 2026,International,,,PhD,,,"Boston College Nursing PhD Mar 23, 2026 Rejected on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,25,3
Philosophy,University of Utah,,University of Utah,https://www.thegradcafe.com/result/1016471,Waitlisted,,,Fall 2026,International,,,PhD,,,"University of Utah Philosophy PhD Mar 23, 2026 Wait listed on Mar 18 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,4,9
Social Data Science,University of Copenhagen,,University of Copenhagen,https://www.thegradcafe.com/result/1016470,Accepted,Mar 12,,Fall 2026,International,,,Masters,3.15,,"University of Copenhagen Social Data Science Masters Mar 23, 2026 Accepted on Mar 12 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,19,25
Philosophy,University of Southern California,,University of Southern California,https://www.thegradcafe.com/result/1016469,Rejected,,Mar 22,Fall 2026,International,,,PhD,,,"University of Southern California Philosophy PhD Mar 23, 2026 Rejected on Mar 22 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,4,9
"Communication, Information, and Media",Rutgers University,,Rutgers University,https://www.thegradcafe.com/result/1016468,Rejected,,Mar 22,Fall 2026,American,,,PhD,,,"Rutgers University Communication, Information, and Media PhD Mar 22, 2026 Rejected on Mar 22 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,46,66
Mathematics,Pennsylvania State University,,Pennsylvania State University,https://www.thegradcafe.com/result/1016467,Rejected,,Mar 22,Fall 2026,American,,,PhD,3.8,,"Pennsylvania State University Mathematics PhD Mar 22, 2026 Rejected on Mar 22 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,26,12
American Studies,New York University,,New York University,https://www.thegradcafe.com/result/1016466,Rejected,,Mar 18,Fall 2026,American,,,PhD,3.8,,"New York University American Studies PhD Mar 22, 2026 Rejected on Mar 18 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,34,78
Information Science,University of Texas,,University of Texas,https://www.thegradcafe.com/result/1016465,Accepted,Mar 19,,Fall 2026,American,,,Masters,3.76,,"University of Texas Information Science Masters Mar 22, 2026 Accepted on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,12,33
Economics,University of Virginia,,University of Virginia,https://www.thegradcafe.com/result/1016464,Accepted,Mar 20,,Fall 2026,American,167.0,163.0,PhD,4.0,5.5,"University of Virginia Economics PhD Mar 22, 2026 Accepted on Mar 20 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,2,5
Legal and Forensic Psychology,"University of California, Irvine",,"University of California, Irvine",https://www.thegradcafe.com/result/1016462,Accepted,Mar 19,,Fall 2026,American,,,Masters,3.19,,"University of California, Irvine Legal and Forensic Psychology Masters Mar 22, 2026 Accepted on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,34,3
Information,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1016460,Waitlisted,,,Fall 2026,,,,Masters,,,"University of Toronto Information Masters Mar 22, 2026 Wait listed on Mar 21 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,49,33
Aerospace Engineering,University of Illinois Urbana-Champaign,,University of Illinois Urbana-Champaign,https://www.thegradcafe.com/result/1016459,Accepted,Mar 10,,Fall 2026,International,,,Masters,,,"University of Illinois Urbana-Champaign Aerospace Engineering Masters Mar 22, 2026 Accepted on Mar 10 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,8,48
Chemistry,University of Chicago,,University of Chicago,https://www.thegradcafe.com/result/1016457,Rejected,,Feb 25,Fall 2026,International,,,PhD,3.4,,"University of Chicago Chemistry PhD Mar 22, 2026 Rejected on Feb 25 Total comments",https://www.thegradcafe.com/survey?page=191&sort=newest,7,11
Chemistry,Columbia University,,Columbia University,https://www.thegradcafe.com/result/1016456,Rejected,,Mar 18,Fall 2026,International,,,PhD,3.41,,"Columbia University Chemistry PhD Mar 22, 2026 Rejected on Mar 18 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,7,11
Chemistry,UNC Chapel Hill,,UNC Chapel Hill,https://www.thegradcafe.com/result/1016455,Rejected,,Mar 19,Fall 2026,International,,,PhD,3.4,,"UNC Chapel Hill Chemistry PhD Mar 22, 2026 Rejected on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,7,11
Chemistry,Princeton University,,Princeton University,https://www.thegradcafe.com/result/1016454,Rejected,,Feb 09,Fall 2026,International,,,PhD,,,"Princeton University Chemistry PhD Mar 22, 2026 Rejected on Feb 09 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,7,11
Media Studies,University of Western Ontario,,University of Western Ontario,https://www.thegradcafe.com/result/1016453,Accepted,Feb 26,,Fall 2026,International,,,PhD,3.4,,"University of Western Ontario Media Studies PhD Mar 22, 2026 Accepted on Feb 26 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,34,66
Information Studies,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1016451,Waitlisted,,,Fall 2026,,,,Masters,,,"University of Toronto Information Studies Masters Mar 22, 2026 Wait listed on Mar 21 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,46,33
Computer Science,Cornell University,,Cornell University,https://www.thegradcafe.com/result/1016450,Rejected,,Mar 19,Fall 2026,International,,,Masters,,,"Cornell University Computer Science Masters Mar 22, 2026 Rejected on Mar 19 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Computer Science,University of Pennsylvania,,University of Pennsylvania,https://www.thegradcafe.com/result/1016449,Waitlisted,,,Fall 2026,International,,,Masters,,,"University of Pennsylvania Computer Science Masters Mar 22, 2026 Wait listed on Jan 16 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Computer Science,Carnegie Mellon University,,Carnegie Mellon University,https://www.thegradcafe.com/result/1016448,Rejected,,Feb 26,Fall 2026,International,,,Masters,,,"Carnegie Mellon University Computer Science Masters Mar 22, 2026 Rejected on Feb 26 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Computer Science,University of Massachusetts Amherst,,University of Massachusetts Amherst,https://www.thegradcafe.com/result/1016447,Accepted,Feb 10,,Fall 2026,International,,,Masters,,,"University of Massachusetts Amherst Computer Science Masters Mar 22, 2026 Accepted on Feb 10 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Computer Science,NYU Tandon School of Engineering,,NYU Tandon School of Engineering,https://www.thegradcafe.com/result/1016446,Accepted,Dec 02,,Fall 2026,International,,,Masters,,,"NYU Tandon School of Engineering Computer Science Masters Mar 22, 2026 Accepted on Dec 02 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Computer Science,"University of California, San Diego",,"University of California, San Diego",https://www.thegradcafe.com/result/1016445,Accepted,Feb 12,,Fall 2026,International,,,Masters,,,"University of California, San Diego Computer Science Masters Mar 22, 2026 Accepted on Feb 12 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,1,2
Cultural Reporting Criticism,New York University,,New York University,https://www.thegradcafe.com/result/1016444,Accepted,Mar 13,,Fall 2026,American,,,Masters,,,"New York University Cultural Reporting Criticism Masters Mar 22, 2026 Accepted on Mar 13 Total comments",https://www.thegradcafe.com/survey?page=192&sort=newest,25,3
