program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page,initial_cluster,final_cluster
Economics,Harvard University,,Harvard University,https://www.thegradcafe.com/result/1020265,Accepted,May 26,,Spring 2025,International,170.0,170.0,PhD,3.4,6.0,"Harvard University Economics PhD May 26, 2026 Accepted on May 26 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,2,5
Economics,Harvard University,,Harvard University,https://www.thegradcafe.com/result/1020264,Accepted,May 26,,Fall 2026,International,170.0,170.0,PhD,3.4,6.0,"Harvard University Economics PhD May 26, 2026 Accepted on May 26 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,2,5
Social Work,University of North Carolina at Chapel Hill,,University of North Carolina at Chapel Hill,https://www.thegradcafe.com/result/1020263,Accepted,Apr 29,,Fall 2026,American,,,Masters,3.73,,"University of North Carolina at Chapel Hill Social Work Masters May 26, 2026 Accepted on Apr 29 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,48,28
pure math,princeton,,princeton,https://www.thegradcafe.com/result/1020262,Accepted,May 25,,Fall 2026,American,,,PhD,,,"princeton pure math PhD May 25, 2026 Accepted on May 25 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,46,3
Physics,University of Idaho,,University of Idaho,https://www.thegradcafe.com/result/1020261,Rejected,,Apr 28,Fall 2026,American,,,PhD,,,"University of Idaho Physics PhD May 24, 2026 Rejected on Apr 28 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,11,8
Physics,University of Toledo,,University of Toledo,https://www.thegradcafe.com/result/1020260,Rejected,,May 15,Fall 2026,American,,,PhD,,,"University of Toledo Physics PhD May 24, 2026 Rejected on May 15 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,11,8
Physics,University of Texas at Arlington,,University of Texas at Arlington,https://www.thegradcafe.com/result/1020259,Rejected,,May 23,Fall 2026,American,,,PhD,,,"University of Texas at Arlington Physics PhD May 24, 2026 Rejected on May 23 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,11,8
Economics,Texas Tech University,,Texas Tech University,https://www.thegradcafe.com/result/1020258,Accepted,Apr 17,,Fall 2026,International,165.0,165.0,Masters,3.45,5.0,"Texas Tech University Economics Masters May 24, 2026 Accepted on Apr 17 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,2,5
Computer Science,University of Utah,,University of Utah,https://www.thegradcafe.com/result/1020257,Rejected,,May 23,Fall 2026,International,,,PhD,3.88,,"University of Utah Computer Science PhD May 24, 2026 Rejected on May 23 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,1,2
Social Work,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1020256,Accepted,Apr 24,,Fall 2026,,,,Masters,4.0,,"University of Toronto Social Work Masters May 24, 2026 Accepted on Apr 24 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,48,28
"Social Work, Regular Stream",Wilfrid Laurier University,,Wilfrid Laurier University,https://www.thegradcafe.com/result/1020255,Accepted,May 15,,Fall 2026,,,,Masters,4.0,,"Wilfrid Laurier University Social Work, Regular Stream Masters May 24, 2026 Accepted on May 15 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,0,3
Architecture,University of Washington,,University of Washington,https://www.thegradcafe.com/result/1020254,Accepted,May 22,,Fall 2026,International,,,Masters,3.62,,"University of Washington Architecture Masters May 24, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,33,16
Computational and Applied Mathematics,University of Chicago,,University of Chicago,https://www.thegradcafe.com/result/1020253,Accepted,May 22,,Fall 2026,American,,,Masters,3.47,,"University of Chicago Computational and Applied Mathematics Masters May 23, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,41,26
Hospitality and Tourism Management,Islamic Azad University Science and Research Branch,,Islamic Azad University Science and Research Branch,https://www.thegradcafe.com/result/1020252,Waitlisted,,,Fall 2026,International,,,Masters,4.0,,"Islamic Azad University Science and Research Branch Hospitality and Tourism Management Masters May 23, 2026 Wait listed on Sep 26 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,25,81
Computer Science,University of British Columbia,,University of British Columbia,https://www.thegradcafe.com/result/1020251,Rejected,,May 22,Fall 2026,International,,,Masters,3.85,,"University of British Columbia Computer Science Masters May 23, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,1,2
Astrophysics,Rochester Institute of Technology,,Rochester Institute of Technology,https://www.thegradcafe.com/result/1020250,Rejected,,May 05,Fall 2026,International,,,PhD,3.86,,"Rochester Institute of Technology Astrophysics PhD May 23, 2026 Rejected on May 05 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,46,37
Political Science,University of Houston,,University of Houston,https://www.thegradcafe.com/result/1020249,Accepted,Apr 24,,Fall 2026,International,,,PhD,,,"University of Houston Political Science PhD May 23, 2026 Accepted on Apr 24 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest,3,20
Computer Science,University of British Columbia,,University of British Columbia,https://www.thegradcafe.com/result/1020248,Rejected,,May 22,Fall 2026,American,,,Masters,,,"University of British Columbia Computer Science Masters May 22, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,1,2
Social Science,South Dakota State University,,South Dakota State University,https://www.thegradcafe.com/result/1020247,Accepted,May 22,,Fall 2026,International,,,PhD,3.44,,"South Dakota State University Social Science PhD May 22, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,12,28
Computer Science,University of Florida,,University of Florida,https://www.thegradcafe.com/result/1020246,Rejected,,May 22,Fall 2026,International,,,PhD,3.94,,"University of Florida Computer Science PhD May 22, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,1,2
Information Science,University of Wisconsin - Madison,,University of Wisconsin - Madison,https://www.thegradcafe.com/result/1020245,Accepted,Apr 09,,Fall 2026,American,,,Masters,,,"University of Wisconsin - Madison Information Science Masters May 22, 2026 Accepted on Apr 09 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,12,33
Speech Language Pathology,University of St. Augustine for Health Sciences,,University of St. Augustine for Health Sciences,https://www.thegradcafe.com/result/1020244,Accepted,May 23,,Fall 2025,American,,,Masters,,,"University of St. Augustine for Health Sciences Speech Language Pathology Masters May 22, 2026 Accepted on May 23 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,9,6
Chemical And Biomolecular Engineering,Johns Hopkins University,,Johns Hopkins University,https://www.thegradcafe.com/result/1020243,Rejected,,May 21,Fall 2026,International,,,PhD,3.71,,"Johns Hopkins University Chemical And Biomolecular Engineering PhD May 21, 2026 Rejected on May 21 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,39,35
Health Policy and Administration,Pennsylvania State University,,Pennsylvania State University,https://www.thegradcafe.com/result/1020242,Rejected,,May 21,Fall 2026,American,,,PhD,,,"Pennsylvania State University Health Policy and Administration PhD May 21, 2026 Rejected on May 21 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,34,73
Health Services Research and Policy,University of Georgia,,University of Georgia,https://www.thegradcafe.com/result/1020241,Rejected,,May 21,,,,,PhD,,,"University of Georgia Health Services Research and Policy PhD May 21, 2026 Rejected on May 21 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,34,64
Public Health,University of South Florida,,University of South Florida,https://www.thegradcafe.com/result/1020239,Rejected,,May 19,Fall 2026,American,,,Masters,3.0,,"University of South Florida Public Health Masters May 20, 2026 Rejected on May 19 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,48,59
